layanan,MAE,RMSE,MAPE
Air,13532914.09291659,19545866.5709369,126.26541751217373
E-Wallet,211450697.26929116,301553701.3291438,12.582652547479519
Lainnya,55939733.65195333,66222615.285617255,56.13393588551007
Listrik,95571505.06911679,162213323.8247425,22.20794767350504
Pajak,466006446.73666865,712077170.1830344,413.87975398547104
TV/Internet,30750722.607712064,51556299.26823747,109.61346697323206
